uid,profile,anime_uid,rating,scores
104265,iEmnesty,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '7', 'Sound': '8', 'Character': '10', 'Enjoyment': '10'}"
231185,Treima,5680,7,"{'Overall': '7', 'Story': '6', 'Animation': '7', 'Sound': '8', 'Character': '8', 'Enjoyment': '7'}"
232989,laigle-noir,5680,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
234199,ShelbyWAO,5680,10,"{'Overall': '10', 'Story': '5', 'Animation': '9', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
271302,usaking,5680,8,"{'Overall': '8', 'Story': '5', 'Animation': '10', 'Sound': '10', 'Character': '7', 'Enjoyment': '8'}"
158021,firebug,5680,9,"{'Overall': '9', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
120501,gunny1993,5680,10,"{'Overall': '10', 'Story': '3', 'Animation': '8', 'Sound': '7', 'Character': '10', 'Enjoyment': '10'}"
146235,gayanime,5680,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
30431,worldsend007,5680,7,"{'Overall': '7', 'Story': '5', 'Animation': '8', 'Sound': '8', 'Character': '7', 'Enjoyment': '6'}"
230923,Bsum,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '9', 'Sound': '9', 'Character': '9', 'Enjoyment': '10'}"
17401,dragafire,5680,7,"{'Overall': '7', 'Story': '5', 'Animation': '8', 'Sound': '9', 'Character': '8', 'Enjoyment': '7'}"
223432,Monikon,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '9', 'Sound': '10', 'Character': '7', 'Enjoyment': '10'}"
95507,swc1098,5680,6,"{'Overall': '6', 'Story': '5', 'Animation': '6', 'Sound': '9', 'Character': '6', 'Enjoyment': '7'}"
110563,Howwl,5680,10,"{'Overall': '10', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
101433,DustPotato,5680,9,"{'Overall': '9', 'Story': '8', 'Animation': '6', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
113583,Phoenix_Trite,5680,10,"{'Overall': '10', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
205817,KomanoOhta,5680,7,"{'Overall': '7', 'Story': '6', 'Animation': '6', 'Sound': '9', 'Character': '7', 'Enjoyment': '8'}"
